WKT,name,description
"POLYGON ((80.402443 24.531912, 80.4639608 24.622573, 80.427479 24.640695, 80.372425 24.559295, 80.32966 24.535504, 80.33575 24.528384, 80.352223 24.503976, 80.402443 24.531912))",488333_D,C12
"POLYGON ((80.432449 24.504522, 80.451428 24.532562, 80.4648218 24.5528087, 80.5166979 24.6201789, 80.494618 24.626733, 80.4639608 24.622573, 80.458296 24.614458, 80.402443 24.531912, 80.352223 24.503976, 80.371173 24.4759, 80.37043 24.470027, 80.432449 24.504522))",488333_E,C13
"POLYGON ((80.364431 24.422619, 80.444777 24.467304, 80.450438 24.515578, 80.4648218 24.5528087, 80.451428 24.532562, 80.432449 24.504522, 80.37043 24.470027, 80.364431 24.422619))",488333_F,C14
"POLYGON ((80.363082 24.377802, 80.480187 24.442924, 80.459194 24.447306, 80.444777 24.467304, 80.364431 24.422619, 80.361165 24.396807, 80.356923 24.39557, 80.358251 24.391739, 80.358774 24.39023, 80.363082 24.377802))",488333_G,C15
"POLYGON ((80.522386 24.422319, 80.524692 24.425722, 80.51534 24.435585, 80.480187 24.442924, 80.363082 24.377802, 80.369489 24.35932, 80.372042 24.351639, 80.374599 24.343475, 80.375484 24.340635, 80.522386 24.422319))",488333_H,C16
"POLYGON ((80.388513 24.303821, 80.53106 24.383076, 80.527324 24.38594, 80.526547 24.411407, 80.526157 24.424176, 80.524692 24.425722, 80.522386 24.422319, 80.375484 24.340635, 80.377544 24.334025, 80.377546 24.334018, 80.377554 24.333993, 80.377821 24.333136, 80.377848 24.333049, 80.377852 24.333037, 80.377957 24.332698, 80.377971 24.332654, 80.378047 24.33241, 80.378337 24.331479, 80.378783 24.330048, 80.378953 24.329502, 80.379438 24.327946, 80.379441 24.327937, 80.379656 24.327223, 80.380087 24.325785, 80.380847 24.323864, 80.381136 24.323134, 80.382973 24.318491, 80.385087 24.313147, 80.387443 24.307192, 80.388513 24.303821))",488333_I,C17
"POLYGON ((80.402439 24.267508, 80.55976 24.354969, 80.556457 24.363606, 80.53106 24.383076, 80.388513 24.303821, 80.394532 24.284854, 80.400366 24.272057, 80.402439 24.267508))",488333_J,C18
"POLYGON ((80.417677 24.231928, 80.566199 24.314489, 80.56641 24.322583, 80.57215 24.32389, 80.578063 24.335296, 80.564558 24.342421, 80.55976 24.354969, 80.402439 24.267508, 80.414085 24.241956, 80.417677 24.231928))",488333_K,C19
"POLYGON ((80.433066 24.196433, 80.588082 24.282597, 80.585832 24.283445, 80.575636 24.285214, 80.577335 24.294723, 80.580248 24.301136, 80.566168 24.313297, 80.566199 24.314489, 80.417677 24.231928, 80.421236 24.221993, 80.425258 24.213139, 80.427441 24.208334, 80.429875 24.203147, 80.431381 24.199978, 80.431454 24.199824, 80.43165 24.199413, 80.433066 24.196433))",488333_L,C19
"POLYGON ((80.4509318 24.1603033, 80.5885305 24.2367783, 80.5862335 24.2386183, 80.5886605 24.2698073, 80.5925454 24.2748943, 80.5942444 24.2795383, 80.5894545 24.2813443, 80.43444 24.1951803, 80.43602 24.1918543, 80.436319 24.1912243, 80.4509318 24.1603033))",488333_M,C20
"POLYGON ((80.476544 24.132512, 80.629061 24.21727, 80.62079 24.21841, 80.600883 24.227039, 80.587158 24.238031, 80.449558 24.161556, 80.450613 24.159324, 80.455709 24.154672, 80.476544 24.132512))",488333_N,C20
"POLYGON ((80.6598549 24.1909164, 80.641668 24.215533, 80.629061 24.21727, 80.476544 24.132512, 80.4879 24.120435, 80.5114642 24.1056722, 80.6598549 24.1909164))",488333_O,C20
"POLYGON ((80.6598549 24.1909164, 80.5114642 24.1056722, 80.5526427 24.075274, 80.6900396 24.1836976, 80.6598549 24.1909164))",488333_P,C20
"POLYGON ((75.470001 17.551549, 75.451588 17.555764, 75.445243 17.555288, 75.427748 17.548377, 75.415453 17.534646, 75.411036 17.517089, 75.41546 17.499534, 75.427756 17.485807, 75.445245 17.478899, 75.464116 17.480315, 75.480257 17.489747, 75.490152 17.50514, 75.491641 17.523139, 75.484398 17.539821, 75.470001 17.551549))",413305_A,C1
"POLYGON ((75.517217 17.562543, 75.49359 17.581791, 75.463502 17.5953767, 75.4391683 17.5945409, 75.40428 17.5800337, 75.380726 17.553774, 75.379311 17.552193, 75.370485 17.517077, 75.379339 17.481968, 75.403933 17.454517, 75.438906 17.440704, 75.476639 17.443536, 75.508918 17.462396, 75.519387 17.478677, 75.528711 17.493179, 75.531697 17.529176, 75.517217 17.562543), (75.490152 17.50514, 75.491641 17.523139, 75.484398 17.539821, 75.470001 17.551549, 75.451588 17.555764, 75.445243 17.555288, 75.427748 17.548377, 75.415453 17.534646, 75.411036 17.517089, 75.41546 17.499534, 75.427756 17.485807, 75.445245 17.478899, 75.464116 17.480315, 75.480257 17.489747, 75.490152 17.50514))",413305_B,C3
"POLYGON ((75.546722 17.587967, 75.532962 17.599178, 75.531661 17.598883, 75.531615 17.598872, 75.530897 17.598709, 75.530147 17.598539, 75.528426 17.598434, 75.527698 17.59839, 75.525571 17.598261, 75.522079 17.598048, 75.515777 17.598559, 75.5111 17.596211, 75.503381 17.592335, 75.498244 17.586803, 75.49359 17.581791, 75.517217 17.562543, 75.531697 17.529176, 75.528711 17.493179, 75.519387 17.478677, 75.53357 17.485321, 75.567274 17.481329, 75.571756 17.535206, 75.558574 17.565595, 75.550045 17.58526, 75.546722 17.587967))",413305_C,C5
"POLYGON ((75.380118 17.423225, 75.410012 17.411418, 75.426089 17.419318, 75.443117 17.438769, 75.472301 17.442044, 75.473314 17.443286, 75.438906 17.440704, 75.403933 17.454517, 75.379339 17.481968, 75.370485 17.517077, 75.379311 17.552193, 75.380726 17.553774, 75.358597 17.54806, 75.330208 17.51597, 75.343224 17.464396, 75.380118 17.423225))",413305_D,C5
"POLYGON ((75.611817 17.541227, 75.602335 17.563098, 75.595801 17.562701, 75.598591 17.560406, 75.592632 17.55861, 75.590572 17.555173, 75.587482 17.547153, 75.578683 17.545516, 75.57066 17.5537, 75.568257 17.561556, 75.563964 17.568757, 75.561941 17.568499, 75.56139 17.568429, 75.559983 17.567014, 75.559054 17.566078, 75.558574 17.565595, 75.571756 17.535206, 75.567274 17.481329, 75.572674 17.48069, 75.591429 17.458093, 75.596497 17.454753, 75.605813 17.469234, 75.611817 17.541227))",413305_E,C7
"POLYGON ((75.356311 17.391929, 75.356661 17.391791, 75.365639 17.413295, 75.397805 17.405419, 75.410012 17.411418, 75.380118 17.423225, 75.343224 17.464396, 75.330208 17.51597, 75.316087 17.500009, 75.295054 17.494574, 75.303305 17.461911, 75.310171 17.443409, 75.356311 17.391929))",413305_F,C7
"POLYGON ((75.332513 17.360631, 75.339014 17.358064, 75.353259 17.383643, 75.356661 17.391791, 75.356311 17.391929, 75.310171 17.443409, 75.296444 17.434142, 75.287102 17.411288, 75.332513 17.360631))",413305_H,C9
"POLYGON ((75.303305 17.461911, 75.295054 17.494574, 75.285355 17.492068, 75.28098 17.483309, 75.2682644 17.4691532, 75.287102 17.411288, 75.296444 17.434142, 75.310171 17.443409, 75.303305 17.461911))",413305_I,C9
