Pincode,Volumetric Lat,Volumetric Long
794114,25.21392442,90.84447004
794110,25.72650979,90.8719405
783126,26.01200937,90.6534643
794111,25.55505875,90.61862653
783382,26.24275832,90.63312208
783121,26.42689688,90.16365881
794102,25.29345041,90.67155235
783389,26.34256058,90.51060411
794108,25.81679234,90.59414861
783101,26.14076988,90.58818596
783133,26.0818724,90.72676947
794112,25.90949006,90.7768086
794002,25.58174437,90.27109094
783388,26.25754002,90.55381221
783120,26.05187841,90.51148365
783375,26.72956285,90.41755734
783371,26.2609624,90.44695301
794109,25.93855155,90.31812911
794103,25.28292744,90.27896613
794003,25.71107715,90.2062001
783347,26.47796025,90.17467746
783354,26.42689688,90.16365881
783346,26.56490196,90.1869798
794105,25.66078653,90.00779956
794005,25.44893573,90.32066316
783337,26.30250807,90.07016208
783336,26.44985872,90.08000208
783350,26.60329088,90.01861165
783339,26.13961031,90.03107893
783360,26.49681055,89.98451179
783361,26.46418176,89.89858846
783127,25.87103404,89.97507585
794115,25.48826785,89.93637218
783334,26.11253285,89.83650183
783331,26.10479598,89.94473662
783333,26.37337002,89.90005963
794106,25.35329122,89.87640989
783332,26.28239922,89.87801229
783335,26.24191189,89.77700143
735182,27.16358096,88.55098305
736167,26.07769101,89.33900911
736158,26.15793255,89.22716935
735303,26.46114534,89.06036799
735236,23.50072156,88.4839763
743378,22.21972035,88.89630232
743227,23.48739186,88.45332789
743238,21.74460562,88.40306769
743370,22.05481626,88.86607868
731247,27.07045875,88.84131169
743611,22.25468451,88.78998311
735230,26.7784086,88.74171409
743124,27.15780032,88.35084221
735152,27.05887798,88.40515068
737131,27.21716318,88.7211916
737133,27.19065942,88.64139798
737120,27.75488683,88.56978892
743312,22.06800699,88.71035399
735307,24.31808745,88.35036447
742113,24.27677151,88.25390545
737106,27.23736771,88.6198252
735234,26.77492389,88.61089295
743502,22.48197216,88.60480812
743338,22.11567075,88.54230707
734315,27.16358096,88.55098305
743711,22.89112559,88.54395248
737107,27.40050069,88.5101663
741124,23.61447521,88.5198505
741140,23.50072156,88.4839763
743354,22.08937522,88.40263644
743601,27.03397703,88.25183042
743353,22.08104474,88.25099001
743343,26.50642483,88.23286204
741139,23.48739186,88.45332789
743371,21.74460562,88.40306769
712515,23.05987266,88.43263924
734503,27.07045875,88.84131169
734317,27.02646972,88.24121291
712501,23.09740676,88.44883797
734320,27.16582403,88.21655158
743383,21.90830866,88.48074216
737126,27.15780032,88.35084221
734321,23.12286467,88.46713508
734312,27.05887798,88.40515068
734403,22.38887571,88.1479574
737128,27.10734242,88.41421881
737116,27.457156,88.58476849
743132,26.95768852,88.16551629
734226,27.01375072,88.3720396
743349,21.99732911,88.47369553
742135,24.31808745,88.35036447
737139,27.28374375,88.36397066
712206,27.09856988,88.1816221
743204,26.03370656,88.08400333
743203,23.65879699,86.90305858
743202,22.71467684,88.09631959
722222,25.1395039,88.07364167
743355,22.23951398,88.37564172
743101,25.03607112,88.03935662
